
Country Name,Series Name,2000 [YR2000,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Finland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",11.69,11.97,12.26,12.54,12.83,13.11,13.01,12.9,12.8,12.69,12.59,12.31,12.03,11.74,11.46,11.18,11.05,10.91,10.78,..
Finland,Prevalence of current tobacco use (% of adults),35.7,34.84,33.98,33.12,32.26,31.4,30.68,29.96,29.24,28.52,27.8,27.14,26.48,25.82,25.16,24.5,23.73,22.97,22.2,22.2
France,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.08,13.88,13.68,13.49,13.29,13.09,12.95,12.81,12.68,12.54,12.4,12.45,12.5,12.54,12.59,12.64,12.54,12.43,12.33,..
France,Prevalence of current tobacco use (% of adults),34.2,34.18,34.16,34.14,34.12,34.1,34.04,33.98,33.92,33.86,33.8,33.78,33.76,33.74,33.72,33.7,33.67,33.63,33.6,33.6
French Polynesia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
French Polynesia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Gabon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.59,10.34,10.1,9.85,9.61,9.36,9.47,9.57,9.68,9.78,9.89,9.83,9.76,9.7,9.63,9.57,9.29,9.02,8.74,..
Gabon,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Gambia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.14,4.17,4.19,4.22,4.24,4.27,4.18,4.09,3.99,3.9,3.81,3.78,3.75,3.73,3.7,3.67,3.63,3.59,3.55,..
Gambia,Prevalence of current tobacco use (% of adults),22.5,21.76,21.02,20.28,19.54,18.8,18.2,17.6,17,16.4,15.8,15.3,14.8,14.3,13.8,13.3,12.73,12.17,11.6,11.6
Georgia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.41,4.81,5.2,5.6,5.99,6.39,7.05,7.7,8.36,9.01,9.67,9.66,9.65,9.63,9.62,9.61,9.16,8.7,8.25,..
Georgia,Prevalence of current tobacco use (% of adults),32.8,32.76,32.72,32.68,32.64,32.6,32.52,32.44,32.36,32.28,32.2,32.16,32.12,32.08,32.04,32,31.9,31.8,31.7,31.7
Germany,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.16,13.98,13.81,13.63,13.46,13.28,13.15,13.02,12.9,12.77,12.64,12.72,12.81,12.89,12.98,13.06,13.01,12.96,12.91,..
Germany,Prevalence of current tobacco use (% of adults),36.4,35.54,34.68,33.82,32.96,32.1,31.34,30.58,29.82,29.06,28.3,27.62,26.94,26.26,25.58,24.9,24.1,23.3,22.5,22.5
Ghana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.3,4.99,4.69,4.38,4.08,3.77,3.87,3.97,4.06,4.16,4.26,4.03,3.8,3.58,3.35,3.12,3,2.87,2.75,..
Ghana,Prevalence of current tobacco use (% of adults),7,6.78,6.56,6.34,6.12,5.9,5.7,5.5,5.3,5.1,4.9,4.76,4.62,4.48,4.34,4.2,4,3.8,3.6,3.6
Greece,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.18,10.29,10.4,10.51,10.62,10.73,10.52,10.31,10.09,9.88,9.67,9.83,10,10.16,10.33,10.49,10.39,10.28,10.18,..
Greece,Prevalence of current tobacco use (% of adults),54.9,53.62,52.34,51.06,49.78,48.5,47.38,46.26,45.14,44.02,42.9,41.9,40.9,39.9,38.9,37.9,36.77,35.63,34.5,34.5
Grenada,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.8,9.59,9.38,9.18,8.97,8.76,8.67,8.58,8.49,8.4,8.31,8.46,8.61,8.77,8.92,9.07,9.21,9.34,9.48,..
Grenada,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Guam,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Guam,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Guatemala,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.4,4.38,4.36,4.33,4.31,4.29,4.13,3.98,3.82,3.67,3.51,3.32,3.13,2.93,2.74,2.55,2.52,2.48,2.45,..
Guatemala,Prevalence of current tobacco use (% of adults),14.3,14.12,13.94,13.76,13.58,13.4,13.22,13.04,12.86,12.68,12.5,12.32,12.14,11.96,11.78,11.6,11.4,11.2,11,11
Guinea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.67,0.69,0.71,0.73,0.75,0.77,0.76,0.74,0.73,0.71,0.7,0.77,0.85,0.92,1,1.07,1.08,1.1,1.11,..
Guinea,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Guinea-Bissau,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.15,4.38,4.61,4.85,5.08,5.31,5.14,4.97,4.81,4.64,4.47,4.59,4.7,4.82,4.93,5.05,5.16,5.27,5.38,..
Guinea-Bissau,Prevalence of current tobacco use (% of adults),18,17.4,16.8,16.2,15.6,15,14.54,14.08,13.62,13.16,12.7,12.3,11.9,11.5,11.1,10.7,10.23,9.77,9.3,9.3
Guyana,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.98,8.78,8.58,8.38,8.18,7.98,7.74,7.5,7.26,7.02,6.78,6.89,7.01,7.12,7.24,7.35,7.2,7.04,6.89,..
Guyana,Prevalence of current tobacco use (% of adults),30.2,28.98,27.76,26.54,25.32,24.1,23.1,22.1,21.1,20.1,19.1,18.3,17.5,16.7,15.9,15.1,14.27,13.43,12.6,12.6
Haiti,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.97,3.95,3.93,3.9,3.88,3.86,3.69,3.51,3.34,3.16,2.99,2.93,2.87,2.81,2.75,2.69,2.7,2.72,2.73,..
Haiti,Prevalence of current tobacco use (% of adults),12.3,12.02,11.74,11.46,11.18,10.9,10.66,10.42,10.18,9.94,9.7,9.48,9.26,9.04,8.82,8.6,8.37,8.13,7.9,7.9
Honduras,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.5,3.58,3.65,3.73,3.8,3.88,3.82,3.76,3.71,3.65,3.59,3.57,3.55,3.53,3.51,3.49,3.58,3.67,3.76,..
Honduras,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Hungary,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.27,14.33,14.39,14.44,14.5,14.56,14.07,13.57,13.08,12.58,12.09,11.99,11.89,11.8,11.7,11.6,11.52,11.43,11.35,..
Hungary,Prevalence of current tobacco use (% of adults),37.4,37.1,36.8,36.5,36.2,35.9,35.64,35.38,35.12,34.86,34.6,34.32,34.04,33.76,33.48,33.2,32.87,32.53,32.2,32.2
Iceland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.03,7.17,7.31,7.46,7.6,7.74,7.69,7.64,7.6,7.55,7.5,7.75,8,8.24,8.49,8.74,8.87,8.99,9.12,..
Iceland,Prevalence of current tobacco use (% of adults),30.2,28.96,27.72,26.48,25.24,24,23.02,22.04,21.06,20.08,19.1,18.32,17.54,16.76,15.98,15.2,14.33,13.47,12.6,12.6
India,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.28,2.29,2.3,2.31,2.32,2.33,2.73,3.14,3.54,3.95,4.35,4.59,4.83,5.06,5.3,5.54,5.54,5.54,5.54,..
India,Prevalence of current tobacco use (% of adults),54.5,52.7,50.9,49.1,47.3,45.5,44.02,42.54,41.06,39.58,38.1,36.92,35.74,34.56,33.38,32.2,30.83,29.47,28.1,28.1
Indonesia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.5,0.5,0.49,0.49,0.48,0.48,0.5,0.52,0.55,0.57,0.59,0.59,0.59,0.6,0.6,0.6,0.59,0.58,0.57,..
Indonesia,Prevalence of current tobacco use (% of adults),35.4,35.48,35.56,35.64,35.72,35.8,35.9,36,36.1,36.2,36.3,36.38,36.46,36.54,36.62,36.7,36.87,37.03,37.2,37.2
Iran,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.21,0.28,0.36,0.43,0.51,0.58,0.67,0.75,0.84,0.92,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.02,1.03,..
Iran,Prevalence of current tobacco use (% of adults),21.5,21,20.5,20,19.5,19,18.6,18.2,17.8,17.4,17,16.66,16.32,15.98,15.64,15.3,14.87,14.43,14,14
Iraq,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.45,0.45,0.45,0.44,0.44,0.44,0.45,0.46,0.47,0.48,0.49,0.47,0.44,0.42,0.39,0.37,0.38,0.38,0.39,..
Iraq,Prevalence of current tobacco use (% of adults),22,21.72,21.44,21.16,20.88,20.6,20.46,20.32,20.18,20.04,19.9,19.74,19.58,19.42,19.26,19.1,19,18.9,18.8,18.8
Ireland,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",15.13,14.94,14.76,14.57,14.39,14.2,13.77,13.35,12.92,12.5,12.07,12.15,12.23,12.31,12.39,12.47,12.61,12.74,12.88,..
Ireland,Prevalence of current tobacco use (% of adults),35.6,34.72,33.84,32.96,32.08,31.2,30.38,29.56,28.74,27.92,27.1,26.44,25.78,25.12,24.46,23.8,23,22.2,21.4,21.4
Israel,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.08,3,2.93,2.85,2.78,2.7,2.78,2.87,2.95,3.04,3.12,3.27,3.42,3.56,3.71,3.86,3.98,4.09,4.21,..
Israel,Prevalence of current tobacco use (% of adults),31.7,31.08,30.46,29.84,29.22,28.6,28.06,27.52,26.98,26.44,25.9,25.4,24.9,24.4,23.9,23.4,22.8,22.2,21.6,21.6
Italy,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",10.37,10.18,9.99,9.79,9.6,9.41,9,8.58,8.17,7.75,7.34,7.39,7.44,7.49,7.54,7.59,7.67,7.76,7.84,..
Italy,Prevalence of current tobacco use (% of adults),26.2,26.02,25.84,25.66,25.48,25.3,25.14,24.98,24.82,24.66,24.5,24.36,24.22,24.08,23.94,23.8,23.63,23.47,23.3,23.3
Jamaica,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.91,4.81,4.72,4.62,4.53,4.43,4.42,4.41,4.4,4.39,4.38,4.34,4.3,4.27,4.23,4.19,4.2,4.21,4.22,..
Jamaica,Prevalence of current tobacco use (% of adults),17.4,16.9,16.4,15.9,15.4,14.9,14.48,14.06,13.64,13.22,12.8,12.44,12.08,11.72,11.36,11,10.57,10.13,9.7,9.7
Japan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.23,8.18,8.13,8.09,8.04,7.99,7.83,7.67,7.52,7.36,7.2,7.33,7.47,7.6,7.74,7.87,7.9,7.93,7.96,..
Japan,Prevalence of current tobacco use (% of adults),33.3,32.52,31.74,30.96,30.18,29.4,28.68,27.96,27.24,26.52,25.8,25.18,24.56,23.94,23.32,22.7,21.97,21.23,20.5,20.5
Jordan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.62,0.63,0.64,0.64,0.65,0.66,0.66,0.65,0.65,0.64,0.64,0.65,0.66,0.67,0.68,0.69,0.69,0.69,0.69,..
Jordan,Prevalence of current tobacco use (% of adults),30.7,30.9,31.1,31.3,31.5,31.7,31.88,32.06,32.24,32.42,32.6,32.82,33.04,33.26,33.48,33.7,34,34.3,34.6,34.6
Kazakhstan,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.18,8.41,8.64,8.87,9.1,9.33,8.46,7.59,6.71,5.84,4.97,4.91,4.85,4.78,4.72,4.66,4.69,4.73,4.76,..
Kazakhstan,Prevalence of current tobacco use (% of adults),34.2,33.54,32.88,32.22,31.56,30.9,30.34,29.78,29.22,28.66,28.1,27.56,27.02,26.48,25.94,25.4,24.77,24.13,23.5,23.5
Kenya,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.83,3.67,3.5,3.34,3.17,3.01,3.07,3.12,3.18,3.23,3.29,3.19,3.08,2.98,2.87,2.77,2.77,2.78,2.78,..
Kenya,Prevalence of current tobacco use (% of adults),19.3,18.8,18.3,17.8,17.3,16.8,16.38,15.96,15.54,15.12,14.7,14.32,13.94,13.56,13.18,12.8,12.37,11.93,11.5,11.5
Kiribati,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.96,2,2.04,2.08,2.12,2.16,2.06,1.96,1.85,1.75,1.65,1.42,1.2,0.97,0.75,0.52,0.5,0.48,0.46,..
Kiribati,Prevalence of current tobacco use (% of adults),68.5,66.88,65.26,63.64,62.02,60.4,58.86,57.32,55.78,54.24,52.7,51.44,50.18,48.92,47.66,46.4,44.83,43.27,41.7,41.7
"Korea, Dem. People's Rep.","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.52,3.55,3.58,3.62,3.65,3.68,3.7,3.72,3.74,3.76,3.78,3.79,3.8,3.8,3.81,3.82,3.81,3.81,3.8,..
"Korea, Dem. People's Rep.",Prevalence of current tobacco use (% of adults),28.5,27.84,27.18,26.52,25.86,25.2,24.62,24.04,23.46,22.88,22.3,21.76,21.22,20.68,20.14,19.6,19,18.4,17.8,17.8
South Korea,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",12.31,11.96,11.62,11.27,10.93,10.58,10.46,10.34,10.21,10.09,9.97,9.98,10,10.01,10.03,10.04,9.93,9.81,9.7,..
South Korea,Prevalence of current tobacco use (% of adults),35,34.14,33.28,32.42,31.56,30.7,29.96,29.22,28.48,27.74,27,26.36,25.72,25.08,24.44,23.8,23,22.2,21.4,21.4
Kuwait,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0,0,0,0,..
Kuwait,Prevalence of current tobacco use (% of adults),20,19.9,19.8,19.7,19.6,19.5,19.38,19.26,19.14,19.02,18.9,18.78,18.66,18.54,18.42,18.3,18.17,18.03,17.9,17.9
Kyrgyz Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",9.45,9.8,10.15,10.49,10.84,11.19,10.97,10.75,10.52,10.3,10.08,9.58,9.08,8.59,8.09,7.59,7.15,6.7,6.26,..
Kyrgyz Republic,Prevalence of current tobacco use (% of adults),31.4,31.18,30.96,30.74,30.52,30.3,30.12,29.94,29.76,29.58,29.4,29.2,29,28.8,28.6,28.4,28.13,27.87,27.6,27.6
Lao People's Democratic Republic,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",4.66,4.6,4.54,4.49,4.43,4.37,4.92,5.46,6.01,6.55,7.1,7.69,8.28,8.87,9.46,10.05,10.27,10.5,10.72,..
Lao People's Democratic Republic,Prevalence of current tobacco use (% of adults),52.5,51.24,49.98,48.72,47.46,46.2,45.06,43.92,42.78,41.64,40.5,39.56,38.62,37.68,36.74,35.8,34.7,33.6,32.5,32.5
Latvia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",8.76,9.4,10.04,10.68,11.32,11.96,11.89,11.83,11.76,11.7,11.63,11.83,12.03,12.24,12.44,12.64,12.68,12.73,12.77,..
Latvia,Prevalence of current tobacco use (% of adults),43.8,43.42,43.04,42.66,42.28,41.9,41.54,41.18,40.82,40.46,40.1,39.78,39.46,39.14,38.82,38.5,38.07,37.63,37.2,37.2
Lebanon,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.96,2.83,2.7,2.57,2.44,2.31,2.24,2.16,2.09,2.01,1.94,1.88,1.82,1.77,1.71,1.65,1.67,1.69,1.71,..
Lebanon,Prevalence of current tobacco use (% of adults),40.2,40.1,40,39.9,39.8,39.7,39.58,39.46,39.34,39.22,39.1,39.02,38.94,38.86,38.78,38.7,38.6,38.5,38.4,38.4
Lesotho,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",7.31,6.92,6.53,6.15,5.76,5.37,5.6,5.82,6.05,6.27,6.5,6.16,5.82,5.48,5.14,4.8,4.73,4.66,4.59,..
Lesotho,Prevalence of current tobacco use (% of adults),31.1,30.66,30.22,29.78,29.34,28.9,28.56,28.22,27.88,27.54,27.2,26.88,26.56,26.24,25.92,25.6,25.2,24.8,24.4,24.4
Liberia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.38,6.31,6.25,6.18,6.12,6.05,5.91,5.78,5.64,5.51,5.37,5.44,5.5,5.57,5.63,5.7,5.84,5.98,6.12,..
Liberia,Prevalence of current tobacco use (% of adults),16.3,15.76,15.22,14.68,14.14,13.6,13.18,12.76,12.34,11.92,11.5,11.12,10.74,10.36,9.98,9.6,9.2,8.8,8.4,8.4
Libya,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.06,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.08,0.07,0.06,0.04,0.03,0.03,0.02,0.02,..
Libya,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Lithuania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.36,13.91,14.46,15,15.55,16.1,15.93,15.76,15.59,15.42,15.25,15.28,15.3,15.33,15.35,15.38,14.66,13.94,13.22,..
Lithuania,Prevalence of current tobacco use (% of adults),41.4,40.9,40.4,39.9,39.4,38.9,38.4,37.9,37.4,36.9,36.4,35.92,35.44,34.96,34.48,34,33.43,32.87,32.3,32.3
Luxembourg,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",14.32,14.17,14.02,13.88,13.73,13.58,13.46,13.34,13.22,13.1,12.98,13.02,13.06,13.1,13.14,13.18,13.1,13.02,12.94,..
Luxembourg,Prevalence of current tobacco use (% of adults),31,30.44,29.88,29.32,28.76,28.2,27.68,27.16,26.64,26.12,25.6,25.12,24.64,24.16,23.68,23.2,22.67,22.13,21.6,21.6
Madagascar,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.11,1.99,1.88,1.76,1.65,1.53,1.6,1.67,1.73,1.8,1.87,1.87,1.87,1.88,1.88,1.88,1.91,1.94,1.97,..
Madagascar,Prevalence of current tobacco use (% of adults),46.7,45.5,44.3,43.1,41.9,40.7,39.64,38.58,37.52,36.46,35.4,34.58,33.76,32.94,32.12,31.3,30.33,29.37,28.4,28.4
Malawi,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.42,2.51,2.6,2.69,2.78,2.87,2.94,3.01,3.07,3.14,3.21,3.29,3.37,3.46,3.54,3.62,3.62,3.63,3.63,..
Malawi,Prevalence of current tobacco use (% of adults),24.1,23.18,22.26,21.34,20.42,19.5,18.8,18.1,17.4,16.7,16,15.42,14.84,14.26,13.68,13.1,12.5,11.9,11.3,11.3
Malaysia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.53,1.48,1.43,1.38,1.33,1.28,1.29,1.3,1.3,1.31,1.32,1.23,1.13,1.04,0.94,0.85,0.85,0.85,0.85,..
Malaysia,Prevalence of current tobacco use (% of adults),29.5,29.1,28.7,28.3,27.9,27.5,27.12,26.74,26.36,25.98,25.6,25.26,24.92,24.58,24.24,23.9,23.53,23.17,22.8,22.8
Maldives,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.04,1.94,1.83,1.73,1.62,1.52,1.55,1.57,1.6,1.62,1.65,1.73,1.82,1.9,1.99,2.07,2.12,2.17,2.22,..
Maldives,Prevalence of current tobacco use (% of adults),38.3,37.46,36.62,35.78,34.94,34.1,33.4,32.7,32,31.3,30.6,30,29.4,28.8,28.2,27.6,27.03,26.47,25.9,25.9
Mali,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.15,1.13,1.11,1.09,1.07,1.05,1.06,1.07,1.07,1.08,1.09,1.12,1.15,1.19,1.22,1.25,1.26,1.27,1.28,..
Mali,Prevalence of current tobacco use (% of adults),16.3,15.8,15.3,14.8,14.3,13.8,13.36,12.92,12.48,12.04,11.6,11.26,10.92,10.58,10.24,9.9,9.47,9.03,8.6,8.6
Malta,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.72,5.91,6.09,6.28,6.46,6.65,6.64,6.62,6.61,6.59,6.58,6.78,6.97,7.17,7.36,7.56,7.7,7.85,7.99,..
Malta,Prevalence of current tobacco use (% of adults),34.3,33.72,33.14,32.56,31.98,31.4,30.84,30.28,29.72,29.16,28.6,28.14,27.68,27.22,26.76,26.3,25.7,25.1,24.5,24.5
Mauritania,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.2,0.19,0.17,0.16,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.04,0.04,..
Mauritania,Prevalence of current tobacco use (% of adults),21.3,20.62,19.94,19.26,18.58,17.9,17.34,16.78,16.22,15.66,15.1,14.6,14.1,13.6,13.1,12.6,12.1,11.6,11.1,11.1
Mauritius,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.49,5.39,5.29,5.2,5.1,5,4.76,4.52,4.29,4.05,3.81,3.84,3.86,3.89,3.91,3.94,4.08,4.21,4.35,..
Mauritius,Prevalence of current tobacco use (% of adults),25.5,25.22,24.94,24.66,24.38,24.1,23.82,23.54,23.26,22.98,22.7,22.44,22.18,21.92,21.66,21.4,21.1,20.8,20.5,20.5
Mexico,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",6.43,6.44,6.45,6.46,6.47,6.48,6.23,5.97,5.72,5.46,5.21,5.15,5.09,5.04,4.98,4.92,4.95,4.97,5,..
Mexico,Prevalence of current tobacco use (% of adults),24,23.32,22.64,21.96,21.28,20.6,20.02,19.44,18.86,18.28,17.7,17.2,16.7,16.2,15.7,15.2,14.6,14,13.4,13.4
Micronesia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.86,3.64,3.43,3.21,3,2.78,2.79,2.81,2.82,2.84,2.85,2.77,2.69,2.6,2.52,2.44,2.45,2.47,2.48,..
Micronesia,Prevalence of current tobacco use (% of adults),..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,..,..
Moldova,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",13.89,15.1,16.31,17.53,18.74,19.95,19.07,18.19,17.3,16.42,15.54,14.81,14.07,13.34,12.6,11.87,11.72,11.58,11.43,..
Moldova,Prevalence of current tobacco use (% of adults),25.3,25.44,25.58,25.72,25.86,26,26.18,26.36,26.54,26.72,26.9,27.1,27.3,27.5,27.7,27.9,28.17,28.43,28.7,28.7
Mongolia,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",3.11,3.54,3.98,4.41,4.85,5.28,6.15,7.03,7.9,8.78,9.65,9.91,10.18,10.44,10.71,10.97,10.04,9.12,8.19,..
Mongolia,Prevalence of current tobacco use (% of adults),34.1,33.86,33.62,33.38,33.14,32.9,32.64,32.38,32.12,31.86,31.6,31.4,31.2,31,30.8,30.6,30.27,29.93,29.6,29.6
Montenegro,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,..,#VALUE!,#VALUE!,#VALUE!,#VALUE!,15.07,14.24,13.41,12.58,11.75,10.92,11.1,11.29,11.47,..
Montenegro,Prevalence of current tobacco use (% of adults),38.7,38.3,37.9,37.5,37.1,36.7,36.34,35.98,35.62,35.26,34.9,34.54,34.18,33.82,33.46,33.1,32.67,32.23,31.8,31.8
Morocco,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",1.01,1,0.99,0.98,0.97,0.96,0.95,0.94,0.92,0.91,0.9,0.86,0.82,0.78,0.74,0.7,0.7,0.69,0.69,..
Morocco,Prevalence of current tobacco use (% of adults),22.5,22.02,21.54,21.06,20.58,20.1,19.7,19.3,18.9,18.5,18.1,17.72,17.34,16.96,16.58,16.2,15.77,15.33,14.9,14.9
Mozambique,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2.33,2.12,1.92,1.71,1.51,1.3,1.37,1.43,1.5,1.56,1.63,1.74,1.85,1.97,2.08,2.19,2.23,2.26,2.3,..
Mozambique,Prevalence of current tobacco use (% of adults),29.4,28.42,27.44,26.46,25.48,24.5,23.7,22.9,22.1,21.3,20.5,19.8,19.1,18.4,17.7,17,16.27,15.53,14.8,14.8
Myanmar,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0.38,0.63,0.89,1.14,1.4,1.65,1.9,2.15,2.4,2.65,2.9,3.2,3.5,3.81,4.11,4.41,4.65,4.88,5.12,..
Myanmar,Prevalence of current tobacco use (% of adults),66.9,65.64,64.38,63.12,61.86,60.6,59.4,58.2,57,55.8,54.6,53.44,52.28,51.12,49.96,48.8,47.57,46.33,45.1,45.1
